"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"JuJu Smith-Schuster","KC","5","19.2%","4","22.2%","80.0%","2","100.0%","1","3.8%","1","5.6%","100.0%","1","50.0%"
"Mo Alie-Cox","IND","6","27.3%","2","16.7%","33.3%","1","100.0%","1","4.5%","0","0.0%","0.0%","0","0.0%"
"James Conner","ARI","5","9.1%","5","10.6%","100.0%","1","100.0%","1","1.8%","1","2.1%","100.0%","1","100.0%"
"Patrick Ricard","BAL","2","40.0%","2","66.7%","100.0%","1","100.0%","1","20.0%","1","33.3%","100.0%","1","100.0%"
"Austin Ekeler","WAS","3","7.3%","2","5.7%","66.7%","0","0.0%","1","2.4%","1","2.9%","100.0%","0","0.0%"
"River Cracraft","MIA","1","11.1%","1","14.3%","100.0%","0","0.0%","1","11.1%","1","14.3%","100.0%","0","0.0%"
"Nick Chubb","CLE","1","9.1%","1","20.0%","100.0%","1","100.0%","1","9.1%","1","20.0%","100.0%","1","100.0%"
"Justin Watson","KC","4","12.5%","4","18.2%","100.0%","2","100.0%","1","3.1%","1","4.5%","100.0%","1","50.0%"
"Ray-Ray McCloud III","ATL","6","6.9%","4","6.5%","66.7%","1","100.0%","1","1.1%","0","0.0%","0.0%","0","0.0%"
"Marquez Valdes-Scantling","NO","2","4.5%","2","10.5%","100.0%","1","25.0%","1","2.3%","1","5.3%","100.0%","1","25.0%"
"Trent Sherfield Sr.","MIN","1","11.1%","1","12.5%","100.0%","1","100.0%","1","11.1%","1","12.5%","100.0%","1","100.0%"
"Noah Fant","SEA","4","6.3%","2","4.2%","50.0%","1","100.0%","1","1.6%","0","0.0%","0.0%","0","0.0%"
"T.J. Hockenson","MIN","8","12.9%","4","9.8%","50.0%","0","0.0%","1","1.6%","0","0.0%","0.0%","0","0.0%"
"Alec Ingold","MIA","1","8.3%","1","9.1%","100.0%","0","0.0%","1","8.3%","1","9.1%","100.0%","0","0.0%"
"Ty Johnson","BUF","7","28.0%","5","27.8%","71.4%","2","66.7%","1","4.0%","1","5.6%","100.0%","1","33.3%"
"Alexander Mattison","LV","2","4.2%","2","5.6%","100.0%","0","0.0%","1","2.1%","1","2.8%","100.0%","0","0.0%"
"Tony Pollard","TEN","4","7.0%","3","7.3%","75.0%","0","0.0%","1","1.8%","0","0.0%","0.0%","0","0.0%"
"Drew Sample","CIN","2","9.1%","2","10.0%","100.0%","1","100.0%","1","4.5%","1","5.0%","100.0%","1","100.0%"
"Parris Campbell","PHI","1","12.5%","1","16.7%","100.0%","1","100.0%","1","12.5%","1","16.7%","100.0%","1","100.0%"
"Jonathan Taylor","IND","3","9.7%","2","11.1%","66.7%","1","100.0%","1","3.2%","1","5.6%","100.0%","1","100.0%"
"K.J. Osborn","WAS","3","16.7%","2","28.6%","66.7%","0","0.0%","1","5.6%","1","14.3%","100.0%","0","0.0%"
"Zack Moss","CIN","3","11.1%","2","8.7%","66.7%","1","100.0%","1","3.7%","1","4.3%","100.0%","1","100.0%"
"Adam Trautman","DEN","5","22.7%","4","30.8%","80.0%","2","100.0%","1","4.5%","0","0.0%","0.0%","0","0.0%"
"Luke Farrell","JAX","1","5.9%","1","8.3%","100.0%","0","0.0%","1","5.9%","1","8.3%","100.0%","0","0.0%"
"Josiah Deguara","JAX","2","66.7%","2","66.7%","100.0%","0","0.0%","1","33.3%","1","33.3%","100.0%","0","0.0%"
"DeeJay Dallas","ARI","1","33.3%","1","33.3%","100.0%","1","100.0%","1","33.3%","1","33.3%","100.0%","1","100.0%"
"Quintin Morris","BUF","1","12.5%","1","20.0%","100.0%","1","100.0%","1","12.5%","1","20.0%","100.0%","1","100.0%"
"Javonte Williams","DEN","4","5.7%","1","1.9%","25.0%","0","0.0%","1","1.4%","0","0.0%","0.0%","0","0.0%"
"Khalil Herbert","CIN","3","27.3%","2","20.0%","66.7%","0","0.0%","1","9.1%","0","0.0%","0.0%","0","0.0%"
"Chris Olave","NO","6","13.6%","4","12.5%","66.7%","1","100.0%","1","2.3%","0","0.0%","0.0%","0","0.0%"
"Tutu Atwell","LAR","3","4.8%","2","4.8%","66.7%","0","0.0%","1","1.6%","0","0.0%","0.0%","0","0.0%"
"Tommy Tremble","CAR","4","12.5%","3","13.0%","75.0%","2","100.0%","1","3.1%","1","4.3%","100.0%","1","50.0%"
"Charlie Kolar","BAL","1","9.1%","1","11.1%","100.0%","1","100.0%","1","9.1%","1","11.1%","100.0%","1","100.0%"
"Darnell Washington","PIT","1","4.0%","1","5.3%","100.0%","1","100.0%","1","4.0%","1","5.3%","100.0%","1","100.0%"
"Rakim Jarrett","TB","2","18.2%","1","11.1%","50.0%","0","0.0%","1","9.1%","0","0.0%","0.0%","0","0.0%"
"Bijan Robinson","ATL","7","9.7%","7","11.5%","100.0%","1","100.0%","1","1.4%","1","1.6%","100.0%","1","100.0%"
"Eric Gray","NYG","2","18.2%","1","10.0%","50.0%","0","0.0%","1","9.1%","0","0.0%","0.0%","0","0.0%"
"Kenneth Walker III","SEA","10","18.9%","8","17.4%","80.0%","1","100.0%","1","1.9%","0","0.0%","0.0%","0","0.0%"
"James Cook","BUF","5","13.2%","4","12.5%","80.0%","2","100.0%","1","2.6%","1","3.1%","100.0%","1","50.0%"
"Tyler Goodson","IND","2","13.3%","2","18.2%","100.0%","1","100.0%","1","6.7%","1","9.1%","100.0%","1","100.0%"
"Jordan Mason","SF","3","21.4%","2","18.2%","66.7%","0","0.0%","1","7.1%","0","0.0%","0.0%","0","0.0%"
"Isiah Pacheco","KC","1","6.3%","1","8.3%","100.0%","0","0.0%","1","6.3%","1","8.3%","100.0%","0","0.0%"
"Michael Woods II","CLE","3","17.6%","1","14.3%","33.3%","0","0.0%","1","5.9%","0","0.0%","0.0%","0","0.0%"
"Jaylen Warren","PIT","7","14.6%","3","7.9%","42.9%","0","0.0%","1","2.1%","0","0.0%","0.0%","0","0.0%"
"Grant Calcaterra","PHI","3","10.0%","2","8.3%","66.7%","1","100.0%","1","3.3%","1","4.2%","100.0%","1","100.0%"
"Deven Thompkins","CAR","1","25.0%","1","25.0%","100.0%","0","0.0%","1","25.0%","1","25.0%","100.0%","0","0.0%"
"KaVontae Turpin","DAL","6","11.5%","3","9.7%","50.0%","1","50.0%","1","1.9%","0","0.0%","0.0%","0","0.0%"
"Rashee Rice","KC","2","6.9%","2","8.3%","100.0%","1","50.0%","1","3.4%","1","4.2%","100.0%","0","0.0%"
"Luke Musgrave","GB","1","10.0%","1","14.3%","100.0%","0","0.0%","1","10.0%","1","14.3%","100.0%","0","0.0%"
"Tre Tucker","LV","5","6.2%","5","10.6%","100.0%","2","66.7%","1","1.2%","1","2.1%","100.0%","1","33.3%"
"Jake Bobo","SEA","2","11.8%","2","15.4%","100.0%","1","100.0%","1","5.9%","1","7.7%","100.0%","1","100.0%"
"Blake Whiteheart","CLE","2","22.2%","2","33.3%","100.0%","1","100.0%","1","11.1%","1","16.7%","100.0%","1","100.0%"
"Julian Hill","MIA","5","26.3%","3","25.0%","60.0%","0","0.0%","1","5.3%","1","8.3%","100.0%","0","0.0%"
"Ryan Miller","TB","3","15.0%","2","16.7%","66.7%","2","100.0%","1","5.0%","1","8.3%","100.0%","1","50.0%"
"Xavier Gipson","NYJ","1","10.0%","1","16.7%","100.0%","1","100.0%","1","10.0%","1","16.7%","100.0%","1","100.0%"
"Ben Sims","GB","2","40.0%","1","25.0%","50.0%","0","0.0%","1","20.0%","1","25.0%","100.0%","0","0.0%"
"Nate Adkins","DEN","4","26.7%","4","28.6%","100.0%","3","100.0%","1","6.7%","1","7.1%","100.0%","1","33.3%"
"E.J. Jenkins","PHI","2","100.0%","1","100.0%","50.0%","1","100.0%","1","50.0%","1","100.0%","100.0%","1","100.0%"
